epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9298,0.25413,0.80621,0.80841,0.9999,1,0.995,0.995,0.22019,0.41227,0.76992,0.000664815,0.000664815,0.000664815
2,66.7279,0.23221,0.33894,0.80563,0.99998,1,0.995,0.995,0.1668,0.19469,0.76589,0.00130512,0.00130512,0.00130512
3,93.702,0.21172,0.25891,0.80011,0.99996,1,0.995,0.995,0.17674,0.19029,0.76242,0.00191902,0.00191902,0.00191902
4,122.107,0.19767,0.22942,0.80072,0.99998,1,0.995,0.995,0.15904,0.15721,0.76621,0.0018812,0.0018812,0.0018812
5,150.06,0.17152,0.20021,0.79672,0.99998,1,0.995,0.995,0.12621,0.12477,0.76347,0.0018416,0.0018416,0.0018416
6,178.522,0.16047,0.18963,0.7961,0.99996,1,0.995,0.995,0.13313,0.13151,0.76382,0.001802,0.001802,0.001802
7,206.656,0.14722,0.17247,0.79543,0.99998,1,0.995,0.995,0.11693,0.11172,0.76466,0.0017624,0.0017624,0.0017624
8,235.207,0.1409,0.16769,0.79358,0.99994,1,0.995,0.995,0.10148,0.12008,0.76176,0.0017228,0.0017228,0.0017228
9,262.559,0.13433,0.15598,0.79287,0.99998,1,0.995,0.995,0.08111,0.08837,0.75522,0.0016832,0.0016832,0.0016832
10,289.97,0.12546,0.1492,0.7903,0.99998,1,0.995,0.995,0.11949,0.11447,0.76036,0.0016436,0.0016436,0.0016436
11,317.515,0.12623,0.15012,0.79163,0.99998,1,0.995,0.995,0.08087,0.09097,0.75306,0.001604,0.001604,0.001604
12,344.178,0.11881,0.14408,0.79391,0.99998,1,0.995,0.995,0.07412,0.08661,0.75827,0.0015644,0.0015644,0.0015644
13,371.62,0.11432,0.13641,0.79256,0.99998,1,0.995,0.995,0.09574,0.09016,0.75472,0.0015248,0.0015248,0.0015248
14,398.872,0.10957,0.13015,0.79252,0.99998,1,0.995,0.995,0.07442,0.07519,0.75886,0.0014852,0.0014852,0.0014852
15,425.846,0.1082,0.1315,0.7932,0.99998,1,0.995,0.995,0.05778,0.08024,0.75423,0.0014456,0.0014456,0.0014456
16,453.572,0.10385,0.12359,0.7934,0.99997,1,0.995,0.995,0.06615,0.07063,0.75606,0.001406,0.001406,0.001406
17,481.899,0.10184,0.12231,0.7905,0.99998,1,0.995,0.995,0.0573,0.06671,0.75536,0.0013664,0.0013664,0.0013664
18,508.848,0.09948,0.11982,0.79041,0.99998,1,0.995,0.995,0.06716,0.07713,0.75401,0.0013268,0.0013268,0.0013268
19,537.717,0.09747,0.11663,0.79061,0.99998,1,0.995,0.995,0.05417,0.06088,0.75247,0.0012872,0.0012872,0.0012872
20,566.521,0.09511,0.11451,0.79201,0.99998,1,0.995,0.995,0.05479,0.06165,0.75676,0.0012476,0.0012476,0.0012476
21,595.94,0.09177,0.11267,0.79379,0.99998,1,0.995,0.995,0.0531,0.06038,0.75447,0.001208,0.001208,0.001208
22,624.255,0.09593,0.11055,0.79326,0.99998,1,0.995,0.995,0.05338,0.06157,0.75639,0.0011684,0.0011684,0.0011684
23,652.686,0.08937,0.10798,0.79046,0.99998,1,0.995,0.995,0.04476,0.05322,0.75475,0.0011288,0.0011288,0.0011288
24,681.413,0.08233,0.10221,0.79131,0.99998,1,0.995,0.995,0.05423,0.06756,0.75549,0.0010892,0.0010892,0.0010892
25,709.347,0.08292,0.1019,0.79253,0.99998,1,0.995,0.995,0.04356,0.0501,0.7533,0.0010496,0.0010496,0.0010496
26,738.044,0.08188,0.10049,0.79016,0.99998,1,0.995,0.995,0.04608,0.05679,0.75746,0.00101,0.00101,0.00101
27,766.246,0.08121,0.09985,0.79259,0.99998,1,0.995,0.995,0.04994,0.05258,0.75783,0.0009704,0.0009704,0.0009704
28,795.069,0.07842,0.09743,0.78965,0.99998,1,0.995,0.995,0.04686,0.0615,0.7546,0.0009308,0.0009308,0.0009308
29,824.163,0.07754,0.09585,0.79222,0.99995,1,0.995,0.995,0.04298,0.04636,0.75177,0.0008912,0.0008912,0.0008912
30,852.03,0.07433,0.09397,0.78821,0.99998,1,0.995,0.995,0.03893,0.04731,0.75302,0.0008516,0.0008516,0.0008516
31,880.211,0.07131,0.0896,0.79223,0.99998,1,0.995,0.995,0.04,0.05282,0.75247,0.000812,0.000812,0.000812
32,908.483,0.06823,0.08677,0.78579,0.99998,1,0.995,0.995,0.03576,0.04357,0.75234,0.0007724,0.0007724,0.0007724
33,936.987,0.0666,0.08372,0.79016,0.99998,1,0.995,0.995,0.03244,0.04304,0.75357,0.0007328,0.0007328,0.0007328
34,964.572,0.06724,0.08304,0.78816,0.99998,1,0.995,0.995,0.03123,0.04334,0.75417,0.0006932,0.0006932,0.0006932
35,993.903,0.06331,0.0828,0.79086,0.99998,1,0.995,0.995,0.03449,0.04705,0.75599,0.0006536,0.0006536,0.0006536
36,1023.04,0.06014,0.07988,0.78911,0.99998,1,0.995,0.995,0.0306,0.0391,0.75261,0.000614,0.000614,0.000614
37,1051.35,0.05676,0.07423,0.78777,0.99998,1,0.995,0.995,0.02713,0.03627,0.75416,0.0005744,0.0005744,0.0005744
38,1079.79,0.05909,0.07789,0.78975,0.99998,1,0.995,0.995,0.03206,0.04819,0.75619,0.0005348,0.0005348,0.0005348
39,1108.05,0.05466,0.07388,0.78817,0.99998,1,0.995,0.995,0.02872,0.03578,0.75253,0.0004952,0.0004952,0.0004952
40,1135.61,0.05122,0.07024,0.78865,0.99998,1,0.995,0.995,0.02509,0.04123,0.75245,0.0004556,0.0004556,0.0004556
41,1175.78,0.04127,0.05771,0.79661,0.99998,1,0.995,0.995,0.02658,0.03851,0.75737,0.000416,0.000416,0.000416
42,1204.29,0.04002,0.05493,0.79852,0.99998,1,0.995,0.995,0.02688,0.03435,0.75736,0.0003764,0.0003764,0.0003764
43,1232.73,0.03663,0.05069,0.79569,0.99998,1,0.995,0.995,0.02707,0.03031,0.75771,0.0003368,0.0003368,0.0003368
44,1262.83,0.03668,0.05134,0.79741,1,1,0.995,0.995,0.02939,0.03462,0.75818,0.0002972,0.0002972,0.0002972
45,1292.92,0.03329,0.04619,0.79777,0.99998,1,0.995,0.995,0.01874,0.02658,0.7593,0.0002576,0.0002576,0.0002576
46,1321.65,0.03242,0.04453,0.79813,1,1,0.995,0.995,0.02491,0.03103,0.75799,0.000218,0.000218,0.000218
47,1351.85,0.02975,0.04205,0.79533,1,1,0.995,0.995,0.02078,0.02917,0.75793,0.0001784,0.0001784,0.0001784
48,1380.11,0.02774,0.03948,0.79929,1,1,0.995,0.995,0.01964,0.02841,0.75786,0.0001388,0.0001388,0.0001388
49,1409.26,0.02586,0.03749,0.79815,1,1,0.995,0.995,0.01791,0.02378,0.75604,9.92e-05,9.92e-05,9.92e-05
50,1438.17,0.02418,0.03512,0.79478,1,1,0.995,0.995,0.01769,0.02413,0.75352,5.96e-05,5.96e-05,5.96e-05
